method,N,qid,status
BM25,50,q003,hit
BM25,50,q004,hit
BM25,50,q005,hit
BM25,50,q006,hit
BM25,50,q007,hit
BM25,50,q008,hit
BM25,50,q009,hit
BM25,50,q010,hit
BM25,50,q011,hit
BM25,50,q012,hit
BM25,50,q013,hit
BM25,50,q014,hit
BM25,50,q015,hit
BM25,50,q016,hit
BM25,50,q017,hit
BM25,50,q018,hit
BM25,50,q019,hit
BM25,50,q020,hit
BM25,50,q021,hit
BM25,50,q022,hit
BM25,50,q023,hit
BM25,50,q024,hit
BM25,50,q025,hit
BM25,50,q026,hit
BM25,50,q027,hit
BM25,50,q028,hit
BM25,50,q029,hit
BM25,50,q030,hit
BM25,100,q001,hit
BM25,100,q002,hit
BM25,100,q003,hit
BM25,100,q004,hit
BM25,100,q005,hit
BM25,100,q006,hit
BM25,100,q007,hit
BM25,100,q008,hit
BM25,100,q009,hit
BM25,100,q010,hit
BM25,100,q011,hit
BM25,100,q012,hit
BM25,100,q013,hit
BM25,100,q014,hit
BM25,100,q015,hit
BM25,100,q016,hit
BM25,100,q017,hit
BM25,100,q018,hit
BM25,100,q019,hit
BM25,100,q020,hit
BM25,100,q021,hit
BM25,100,q022,hit
BM25,100,q023,hit
BM25,100,q024,hit
BM25,100,q025,hit
BM25,100,q026,hit
BM25,100,q027,hit
BM25,100,q028,hit
BM25,100,q029,hit
BM25,100,q030,hit
