run_name,query_id,hit@10,rr@10,ndcg@10,first_rel_rank,num_returned,N,M,Compression,Index Size MB,Latency ms/query
w6_N10_M8_pq,q022,1.0,0.125,0.31546487678572877,8.0,10,10,8,PQ,0.00616455078125,4.895973205566406
w6_N10_M8_pq,q023,0.0,0.0,0.0,,10,10,8,PQ,0.00616455078125,4.895973205566406
w6_N10_M8_pq,q024,1.0,0.5,0.6309297535714575,2.0,10,10,8,PQ,0.00616455078125,4.895973205566406
w6_N10_M8_pq,q025,1.0,0.25,0.43067655807339306,4.0,10,10,8,PQ,0.00616455078125,4.895973205566406
w6_N10_M8_pq,q026,0.0,0.0,0.0,,10,10,8,PQ,0.00616455078125,4.895973205566406
w6_N10_M8_pq,q027,0.0,0.0,0.0,,10,10,8,PQ,0.00616455078125,4.895973205566406
w6_N10_M8_pq,q028,1.0,0.1,0.17723928678404774,10.0,10,10,8,PQ,0.00616455078125,4.895973205566406
w6_N10_M8_pq,q029,0.0,0.0,0.0,,10,10,8,PQ,0.00616455078125,4.895973205566406
w6_N10_M8_pq,q030,0.0,0.0,0.0,,10,10,8,PQ,0.00616455078125,4.895973205566406
w6_N10_M8_opq_pq,q001,1.0,0.25,0.43067655807339306,4.0,10,10,8,OPQ+PQ,0.00616455078125,4.891157150268555
w6_N10_M8_opq_pq,q002,1.0,0.125,0.31546487678572877,8.0,10,10,8,OPQ+PQ,0.00616455078125,4.891157150268555
w6_N10_M8_opq_pq,q003,1.0,0.1,0.2890648263178879,10.0,10,10,8,OPQ+PQ,0.00616455078125,4.891157150268555
w6_N10_M8_opq_pq,q004,1.0,0.1111111111111111,0.3010299956639812,9.0,10,10,8,OPQ+PQ,0.00616455078125,4.891157150268555
w6_N10_M8_opq_pq,q005,0.0,0.0,0.0,,10,10,8,OPQ+PQ,0.00616455078125,4.891157150268555
w6_N10_M8_opq_pq,q006,0.0,0.0,0.0,,10,10,8,OPQ+PQ,0.00616455078125,4.891157150268555
w6_N10_M8_opq_pq,q007,0.0,0.0,0.0,,10,10,8,OPQ+PQ,0.00616455078125,4.891157150268555
w6_N10_M8_opq_pq,q008,0.0,0.0,0.0,,10,10,8,OPQ+PQ,0.00616455078125,4.891157150268555
w6_N10_M8_opq_pq,q009,0.0,0.0,0.0,,10,10,8,OPQ+PQ,0.00616455078125,4.891157150268555
w6_N10_M8_opq_pq,q010,0.0,0.0,0.0,,10,10,8,OPQ+PQ,0.00616455078125,4.891157150268555
w6_N10_M8_opq_pq,q011,0.0,0.0,0.0,,10,10,8,OPQ+PQ,0.00616455078125,4.891157150268555
w6_N10_M8_opq_pq,q012,0.0,0.0,0.0,,10,10,8,OPQ+PQ,0.00616455078125,4.891157150268555
w6_N10_M8_opq_pq,q013,0.0,0.0,0.0,,10,10,8,OPQ+PQ,0.00616455078125,4.891157150268555
w6_N10_M8_opq_pq,q014,0.0,0.0,0.0,,10,10,8,OPQ+PQ,0.00616455078125,4.891157150268555
w6_N10_M8_opq_pq,q015,0.0,0.0,0.0,,10,10,8,OPQ+PQ,0.00616455078125,4.891157150268555
w6_N10_M8_opq_pq,q016,0.0,0.0,0.0,,10,10,8,OPQ+PQ,0.00616455078125,4.891157150268555
w6_N10_M8_opq_pq,q017,0.0,0.0,0.0,,10,10,8,OPQ+PQ,0.00616455078125,4.891157150268555
w6_N10_M8_opq_pq,q018,0.0,0.0,0.0,,10,10,8,OPQ+PQ,0.00616455078125,4.891157150268555
w6_N10_M8_opq_pq,q019,0.0,0.0,0.0,,10,10,8,OPQ+PQ,0.00616455078125,4.891157150268555
w6_N10_M8_opq_pq,q020,0.0,0.0,0.0,,10,10,8,OPQ+PQ,0.00616455078125,4.891157150268555
w6_N10_M8_opq_pq,q021,0.0,0.0,0.0,,10,10,8,OPQ+PQ,0.00616455078125,4.891157150268555
w6_N10_M8_opq_pq,q022,1.0,0.14285714285714285,0.3333333333333333,7.0,10,10,8,OPQ+PQ,0.00616455078125,4.891157150268555
w6_N10_M8_opq_pq,q023,0.0,0.0,0.0,,10,10,8,OPQ+PQ,0.00616455078125,4.891157150268555
w6_N10_M8_opq_pq,q024,1.0,0.2,0.38685280723454163,5.0,10,10,8,OPQ+PQ,0.00616455078125,4.891157150268555
w6_N10_M8_opq_pq,q025,1.0,0.25,0.43067655807339306,4.0,10,10,8,OPQ+PQ,0.00616455078125,4.891157150268555
w6_N10_M8_opq_pq,q026,0.0,0.0,0.0,,10,10,8,OPQ+PQ,0.00616455078125,4.891157150268555
w6_N10_M8_opq_pq,q027,0.0,0.0,0.0,,10,10,8,OPQ+PQ,0.00616455078125,4.891157150268555
w6_N10_M8_opq_pq,q028,1.0,0.1,0.17723928678404774,10.0,10,10,8,OPQ+PQ,0.00616455078125,4.891157150268555
