run_name,N,M,Compression,bits,evaluated_queries,missing_run_queries,Recall@1,Recall@5,Recall@10,MRR@10,nDCG@10,Index Size MB,Original FP Payload Size MB,Compression Ratio vs FP Payload,MSE,MAE,Build Time sec,Latency ms/query,Rerank Time sec,run_file,index_stats_file,Delta nDCG@10 vs b4,Delta MRR@10 vs b4,Index Size Ratio vs b4,MSE Ratio vs b4
w6_N10_M24_pq_b2,10,24,PQ-b2,2,30,0,0.0,0.1,0.2666666666666666,0.0631481481481481,0.1057428182732756,0.009246826171875,4.734375,512.0,0.0005517979734577,0.0182663295418024,0.071986436843872,5.065814654032389,0.1519744396209716,results\budgeted\joint_compression\runs\w6_N10_M24_pq_b2_run.tsv,results\budgeted\joint_compression\index_stats\w6_N10_M24_pq_b2_index_stats.json,-0.01971766964667289,-0.025780423280423292,0.5,1.2045336319143871
w6_N10_M24_pq_b4,10,24,PQ-b4,4,30,0,0.0333333333333333,0.1333333333333333,0.2666666666666666,0.0889285714285714,0.1254604879199485,0.01849365234375,4.734375,256.0,0.0004581009270623,0.0166068598628044,0.1690073013305664,4.905859629313151,0.1471757888793945,results\budgeted\joint_compression\runs\w6_N10_M24_pq_b4_run.tsv,results\budgeted\joint_compression\index_stats\w6_N10_M24_pq_b4_index_stats.json,0.0,0.0,1.0,1.0
w6_N10_M24_pq_b8,10,24,PQ-b8,8,30,0,0.0333333333333333,0.1,0.2666666666666666,0.0739285714285714,0.1133995356134137,0.0369873046875,4.734375,128.0,0.0002793763705994,0.0127791473641991,0.5951778888702393,5.277180671691895,0.1583154201507568,results\budgeted\joint_compression\runs\w6_N10_M24_pq_b8_run.tsv,results\budgeted\joint_compression\index_stats\w6_N10_M24_pq_b8_index_stats.json,-0.012060952306534783,-0.015,2.0,0.6098576843993285
