Method,M,Evaluated Queries,Recall@1,Recall@5,Recall@10,MRR@10,nDCG@10,Run File,Latency ms/query,Avg Candidates / Query
Full Multi-vector,full,30,0.03333333333333333,0.1,0.13333333333333333,0.06444444444444444,0.08066648599631152,results\full_multivector\full_mv_run.tsv,,
Week4 C2F N10,49,30,0.03333333333333333,0.03333333333333333,0.26666666666666666,0.06277777777777778,0.10329043557357752,results\budgeted\coarse_to_fine\c2f_single_vector_N10_run.tsv,,
C2F N10 M8,8,30,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.09068783068783069,0.12486464851750534,results\budgeted\token_selection\c2f_N10_M8_run.tsv,2.024913333298173,10.0
C2F N10 M16,16,30,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.09013227513227512,0.12423228121067115,results\budgeted\token_selection\c2f_N10_M16_run.tsv,1.6379233333282173,10.0
C2F N10 M24,24,30,0.03333333333333333,0.1,0.26666666666666666,0.07544973544973545,0.11446669251441946,results\budgeted\token_selection\c2f_N10_M24_run.tsv,1.6845633333408234,10.0
C2F N10 M32,32,30,0.0,0.1,0.26666666666666666,0.04648148148148148,0.09198723261613867,results\budgeted\token_selection\c2f_N10_M32_run.tsv,1.816813333304405,10.0
C2F N10 M49,49,30,0.03333333333333333,0.03333333333333333,0.26666666666666666,0.06277777777777778,0.10329043557357752,results\budgeted\token_selection\c2f_N10_M49_run.tsv,2.3856699999669218,10.0
