M,Keep Ratio,Redundancy Ratio,Avg Tokens/Page,Total Vectors,Vector Reduction vs Full,Payload Size MB,Payload Reduction vs Full,Latency ms/query,Latency Reduction vs Full,Recall@10,Recall@10 Retention vs Full,MRR@10,MRR@10 Retention vs Full,nDCG@10,nDCG@10 Retention vs Full
8,0.16326530612244897,0.8367346938775511,8.0,808,0.8367346938775511,1.578125,0.8367346938775511,2.024913333298173,0.15121817630843792,0.2666666666666666,1.0,0.0906878306878306,1.4445849136114626,0.1248646485175053,1.2088694158769395
16,0.32653061224489793,0.6734693877551021,16.0,1616,0.6734693877551021,3.15625,0.6734693877551021,1.6379233333282173,0.31343256470889613,0.2666666666666666,1.0,0.0901322751322751,1.4357353560893398,0.1242322812106711,1.202747190684233
24,0.4897959183673469,0.5102040816326531,24.0,2424,0.5102040816326531,4.734375,0.5102040816326531,1.6845633333408234,0.29388250119916814,0.2666666666666666,1.0,0.0754497354497354,1.2018541930046363,0.1144666925144194,1.1082022442715003
32,0.6530612244897959,0.34693877551020413,32.0,3232,0.34693877551020413,6.3125,0.34693877551020413,1.816813333304405,0.2384473404412195,0.2666666666666666,1.0,0.0464814814814814,0.7404129793510321,0.0919872326161386,0.890568735675558
49,1.0,0.0,49.0,4949,0.0,9.666015625,0.0,2.3856699999669218,0.0,0.2666666666666666,1.0,0.0627777777777777,1.0,0.1032904355735775,1.0
